total_confirmed,total_deaths,total_recoveries,total_active
27637790,960469,18547610,8129711
27923100,966734,18787877,8168489
28227493,972736,19004538,8250219
28543855,978735,19228208,8336912
28832580,983793,19451142,8397645
29081415,987756,19638990,8454669
29348555,992363,19867489,8488703
29629107,998925,20093776,8536406
29934059,1004793,20323253,8606013
30249632,1010441,20543464,8695727
30576278,1016293,20794613,8765372
30869397,1021566,21031598,8816233
31124526,1025548,21268675,8830303
31384435,1029976,21514153,8840306
31668754,1036127,21733546,8899081
31980407,1042678,21996959,8940770
32301360,1048346,22252629,9000385
32631974,1054363,22491837,9085774
32918085,1059795,22753980,9104310
33165079,1063680,22967859,9133540
33426328,1067794,23190401,9168133
33709128,1073842,23431685,9203601
34033675,1080268,23679903,9273504
34352787,1089162,23901445,9362180
34682292,1094892,24073730,9513670
34979647,1099676,24329331,9550640
35240179,1103717,24551490,9584972
35551524,1110806,24788958,9651760
35867647,1116668,25021584,9729395
36216841,1122589,25276775,9817477
36576162,1128972,25496281,9950909
36936565,1135152,25703071,10098342
37292089,1140057,25898476,10253556
37581583,1144252,26121116,10316215
37871608,1148379,26321235,10401994
38190980,1153728,26513680,10523572
38571764,1159891,26725965,10685908
38978760,1166100,26933292,10879368
39389280,1172313,27136306,11080661
39761413,1178040,27334589,11248784
40092656,1181999,27536100,11374557
40467606,1186841,27738631,11542134
40856480,1193465,27950078,11712937
41296091,1200368,28161300,11934423
41778168,1206346,28388093,12183729
42272069,1213450,28594827,12463792
42728414,1219368,28806408,12702638
43087247,1223733,29003666,12859848
43570291,1229572,29242801,13097918
44038754,1236958,29832506,12969290
44560523,1244133,30098468,13217922
45111898,1251370,30345219,13515309
45683640,1259145,30600993,13823502
46155745,1265816,30845322,14044607
46594934,1271172,31103269,14220493
47143303,1277629,31383406,14482268
47708817,1287201,31634979,14786637
48200961,1297094,31914298,14989569
48820295,1305834,32217953,15296508
49443478,1314990,32506314,15622174
50042669,1322776,32805330,15914563
50533518,1329177,33058570,16145771
51043324,1336758,33315623,16390943
51614069,1346533,33572983,16694553
52238734,1356950,33953207,16928577
52878929,1366665,34179446,17332818
53539863,1376562,34481578,17681723
54126889,1385731,34759397,17981761
54617117,1392659,34990157,18234301
55142751,1400713,35380887,18361151
55745063,1411682,35814478,18518903
56367328,1423148,36177588,18766592
57021314,1434288,36551887,19035139
57695345,1446066,36907311,19341968
58287916,1455371,37246581,19585964
58785996,1463040,37520305,19802651
59320006,1471765,37931518,19916723
59910792,1484276,38303697,20122819
60527871,1496269,38741107,20290495
61117132,1507211,39107983,20501938
61812474,1518732,39489609,20804133
62420041,1528249,39849315,21042477
62915662,1535902,40167598,21212162
63422239,1544981,40569854,21307404
64037142,1557368,41046058,21433716
64677389,1569854,41508984,21598551
65367986,1582561,41935968,21849457
66064345,1594992,42426585,22042768
66706697,1605596,42862533,22238568
67250638,1613691,43178577,22458370
67785484,1622523,43591716,22571245
68416150,1634560,44032487,22749103
69081500,1647129,44458967,22975404
70576907,1659547,44950193,23967167
71282658,1672729,45428333,24181596
71931348,1683558,46933276,23314514
72470142,1691787,47328395,23449960
73021298,1700981,41338398,29981919
73669919,1714204,41696562,30259153
74387461,1728111,42058782,30600568
75126063,1741277,42434191,30950595
75847501,1754342,42751919,31341240
76483006,1765600,43103505,31613901
77030307,1773979,43380334,31875994
77576529,1783464,43723554,32069511
78227986,1797308,44086739,32343939
78910081,1811049,44410879,32688153
79603472,1823258,44725551,33054663
80096696,1831882,45017157,33247657
